City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lundazi,-12.2929,33.1782,64.36,94,8,6.06,ZM,1643744276
clyde river,70.4692,-68.5914,-19.97,63,100,4.61,CA,1643744276
nishihara,26.1842,127.7558,63.68,86,75,10.36,JP,1643744277
samarai,-10.6167,150.6667,80.74,79,100,12.71,PG,1643744277
iqaluit,63.7506,-68.5145,-18.31,75,100,0,CA,1643744277
coro,11.4045,-69.6734,84.74,62,32,21.79,VE,1643744277
boden,65.8252,21.6886,6.8,95,100,5.95,SE,1643744278
bengkulu,-3.8004,102.2655,73.35,87,100,6.67,ID,1643744278
diamantino,-14.4086,-56.4461,76.55,86,94,8.63,BR,1643744278
graaff-reinet,-32.2522,24.5308,75.92,70,100,9.53,ZA,1643744339
tarashcha,49.5583,30.4926,18.28,94,43,6.49,UA,1643744339
aksu,41.1231,80.2644,23.16,51,0,0.6,CN,1643744339
sioux lookout,50.1001,-91.917,17.67,79,100,20.71,CA,1643744339
tautira,-17.7333,-149.15,84.22,77,24,20.96,PF,1643744340
demerval lobao,-5.3583,-42.6764,90.81,52,23,2.66,BR,1643744340
healdsburg,38.6105,-122.8692,61.92,24,0,3,US,1643744340
mweka,-4.85,21.5667,74.88,73,93,1.63,CD,1643744340
minab,27.1467,57.0801,69.3,83,0,3.44,IR,1643744341
tovuz,40.9922,45.6289,45.39,43,15,5.91,AZ,1643744341
puerto colombia,10.9878,-74.9547,87.89,74,3,21.99,CO,1643744333
veriora,58.0079,27.3551,22.89,98,84,3.36,EE,1643744341
turukhansk,65.8167,87.9833,8.22,94,99,9.06,RU,1643744342
wonthaggi,-38.6044,145.5913,59.72,59,92,14.94,AU,1643744342
nikolsk,53.7189,46.0712,25.29,93,99,13.87,RU,1643744342
bonnyville,54.2668,-110.735,-6.48,86,92,12.01,CA,1643744343
iwanai,42.9744,140.5089,25.45,78,100,8.5,JP,1643744343
puerto escondido,15.85,-97.0667,86.83,62,0,16.11,MX,1643744343
walvis bay,-22.9575,14.5053,70.09,79,35,5.21,NA,1643744344
buraydah,26.326,43.975,52.25,36,0,8.25,SA,1643744344
port-cartier,50.0334,-66.8654,8.74,80,100,3.13,CA,1643744344
miranda,3.2499,-76.2281,84.65,68,63,1.3,CO,1643744344
lauria,40.0465,15.8358,36.61,68,41,9.08,IT,1643744345
sabha,27.0377,14.4283,55.74,19,9,10.38,LY,1643744345
kishni,27.0247,79.2634,54.37,72,0,6.62,IN,1643744345
lima,-12.0432,-77.0282,78.39,82,0,3,PE,1643744212
